City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Yantal,RU,56.8471,105.2542,-19.53,80,92,2.89,overcast clouds
327,Castro,BR,-24.7911,-50.0119,64.2,96,100,3.38,overcast clouds
328,Olafsvik,IS,64.8945,-23.7142,31.17,89,86,4.99,overcast clouds
329,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,71.53,94,100,0.58,light rain
330,Kerman,IR,30.2832,57.0788,53.6,16,0,0.36,clear sky
331,Dubbo,AU,-32.25,148.6167,84.2,45,100,12.66,overcast clouds
332,Gao,ML,16.6362,1.637,61.99,31,0,16.78,clear sky
333,Torbay,CA,47.6666,-52.7314,18.0,93,40,5.75,scattered clouds
334,Fortuna,US,40.5982,-124.1573,39.99,100,90,4.34,overcast clouds
335,Rio De Janeiro,BR,-22.9028,-43.2075,79.0,69,0,4.61,clear sky
336,Volosovo,RU,59.4333,29.4833,30.2,93,75,6.71,light snow
337,Gua Musang,MY,4.8823,101.9644,86.38,50,99,3.91,overcast clouds
338,Namibe,AO,-15.1961,12.1522,73.72,74,100,3.74,overcast clouds
339,Caramay,PH,10.1815,119.236,82.45,68,21,15.39,few clouds
340,Himare,AL,40.1017,19.7447,49.55,69,48,11.36,scattered clouds
341,Pevek,RU,69.7008,170.3133,-24.25,87,57,4.74,broken clouds
342,Nalvo,PH,16.8096,120.5108,75.47,75,68,4.5,broken clouds
343,Kungurtug,RU,50.5994,97.5228,21.85,91,100,5.32,light snow
